Kabupaten/ Kota,Measure Names,provinsi,Tanggal,Measure Values
SERAM BAGIAN TIMUR,Meninggal per 100.000 penduduk/ minggu,MALUKU,31/08/2021,0
KEPULAUAN TANIMBAR,Meninggal per 100.000 penduduk/ minggu,MALUKU,31/08/2021,0
MALUKU BARAT DAYA,Meninggal per 100.000 penduduk/ minggu,MALUKU,31/08/2021,0
EMPAT LAWANG,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,0
KEPULAUAN SELAYAR,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,0
BIMA,Meninggal per 100.000 penduduk/ minggu,NTB,31/08/2021,"0,196495"
MUSI RAWAS UTARA,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,0
BUTON UTARA,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,0
KAUR,Meninggal per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,"0,807748"
KOTA SUNGAI PENUH,Meninggal per 100.000 penduduk/ minggu,JAMBI,31/08/2021,0
BENGKULU SELATAN,Meninggal per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,"1,140,849"
HALMAHERA TENGAH,Meninggal per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,0
NDUGA,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
MALUKU TENGAH,Meninggal per 100.000 penduduk/ minggu,MALUKU,31/08/2021,0
TULANG BAWANG,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"1,082,664"
PEGUNUNGAN BINTANG,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
KOTA TUAL,Meninggal per 100.000 penduduk/ minggu,MALUKU,31/08/2021,0
LAMPUNG UTARA,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"4,665,575"
KOTA BAU BAU,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"0,582656"
PEMALANG,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,307846"
OGAN KOMERING ULU,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"1,589,501"
LAHAT,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"0,480243"
BANYUASIN,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"0,569376"
SUMENEP,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,182365"
SUPIORI,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
MUNA BARAT,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,0
OGAN KOMERING ULU SELATAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"0,807029"
BLORA,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,925289"
BUTON,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"0,976725"
BATANG,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,644878"
PATI,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,237614"
SERANG,Meninggal per 100.000 penduduk/ minggu,BANTEN,31/08/2021,"0,19788"
GARUT,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,151238"
MURUNG RAYA,Meninggal per 100.000 penduduk/ minggu,KALIMANTAN TENGAH,31/08/2021,0
HALMAHERA BARAT,Meninggal per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,0
BANGKALAN,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"2,990,466"
SELUMA,Meninggal per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,0
PAMEKASAN,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"1,002,082"
PASURUAN,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,484773"
TAPANULI SELATAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,0
PURWAKARTA,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,313789"
KOTA AMBON,Meninggal per 100.000 penduduk/ minggu,MALUKU,31/08/2021,"0,2109"
OGAN ILIR,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"1,367,076"
TAPANULI TENGAH,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"0,504653"
PADANG PARIAMAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"0,237203"
LANNY JAYA,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
TANGERANG,Meninggal per 100.000 penduduk/ minggu,BANTEN,31/08/2021,"0,025994"
SEMARANG,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"1,025,452"
NIAS BARAT,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,0
WAROPEN,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
PENUKAL ABAB LEMATANG ILIR,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"3,077,665"
REMBANG,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,155557"
JEPARA,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,233673"
SAMPANG,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,099886"
TAMBRAUW,Meninggal per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,0
PESISIR BARAT,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,0
KOTA PEKALONGAN,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,322741"
TAKALAR,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"0,334765"
PADANG LAWAS,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,0
MUSI BANYUASIN,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"0,449951"
KENDAL,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,613742"
CIREBON,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"1,903,369"
SITUBONDO,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"1,450,619"
CIANJUR,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,0
NIAS,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"0,690541"
ASMAT,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
TUBAN,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,676779"
KOTA PAGAR ALAM,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,0
KOLAKA UTARA,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,0
NIAS UTARA,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,0
MUSI RAWAS,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"0,723324"
ACEH TENGGARA,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"0,91208"
BOLAANG MONGONDOW UTARA,Meninggal per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,0
KOTA PADANGSIDIMPUAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"1,737,091"
TOLIKARA,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
MAMBERAMO TENGAH,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
TEGAL,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,835373"
ACEH TIMUR,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"1,130,644"
ALOR,Meninggal per 100.000 penduduk/ minggu,NTT,31/08/2021,"0,961086"
KAIMANA,Meninggal per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,0
WAKATOBI,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,0
PROBOLINGGO,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,930391"
BANDUNG BARAT,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,414093"
LAMPUNG TENGAH,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"1,767,334"
KERINCI,Meninggal per 100.000 penduduk/ minggu,JAMBI,31/08/2021,"2,923,818"
SUMEDANG,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,0
MAJALENGKA,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,244466"
KEPULAUAN YAPEN,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
TANGGAMUS,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"0,655642"
LOMBOK UTARA,Meninggal per 100.000 penduduk/ minggu,NTB,31/08/2021,0
KUNINGAN,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,821585"
BOLAANG MONGONDOW,Meninggal per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"1,187,338"
PANDEGLANG,Meninggal per 100.000 penduduk/ minggu,BANTEN,31/08/2021,"0,326021"
SUBANG,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"1,701,606"
KEPULAUAN SANGIHE,Meninggal per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"2,270,801"
LAMONGAN,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,747237"
DEMAK,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,340007"
LOMBOK TENGAH,Meninggal per 100.000 penduduk/ minggu,NTB,31/08/2021,"0,50774"
BONDOWOSO,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"2,299,802"
SIDENRENG RAPPANG,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"0,660245"
TULANG BAWANG BARAT,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,0
OGAN KOMERING ULU TIMUR,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"1,595,766"
HUMBANG HASUNDUTAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,0
LEBAK,Meninggal per 100.000 penduduk/ minggu,BANTEN,31/08/2021,"0,152535"
TASIKMALAYA,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,776843"
KONAWE,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"0,400402"
BANDUNG,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,0
INDRAMAYU,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,455663"
TEMANGGUNG,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"1,026,752"
KOTA PASURUAN,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,492019"
BREBES,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,99559"
ACEH UTARA,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"1,111,579"
RAJA AMPAT,Meninggal per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,0
ROKAN HULU,Meninggal per 100.000 penduduk/ minggu,RIAU,31/08/2021,"0,828216"
BOMBANA,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"0,542443"
SITARO,Meninggal per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"148,814"
BANTAENG,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"1,057,071"
DOMPU,Meninggal per 100.000 penduduk/ minggu,NTB,31/08/2021,0
WAY KANAN,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"1,090,348"
MOJOKERTO,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,615721"
KOTA LUBUK LINGGAU,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,0
MERANGIN,Meninggal per 100.000 penduduk/ minggu,JAMBI,31/08/2021,0
BOALEMO,Meninggal per 100.000 penduduk/ minggu,GORONTALO,31/08/2021,"2,376,426"
MUARA ENIM,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"1,984,824"
LEMBATA,Meninggal per 100.000 penduduk/ minggu,NTT,31/08/2021,0
BOJONEGORO,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"1,593,474"
KOTABARU,Meninggal per 100.000 penduduk/ minggu,KALIMANTAN SELATAN,31/08/2021,"2,014,609"
KEPULAUAN SERIBU,Meninggal per 100.000 penduduk/ minggu,DKI JAKARTA,31/08/2021,0
KOTA TERNATE,Meninggal per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,"0,836554"
SUMBAWA,Meninggal per 100.000 penduduk/ minggu,NTB,31/08/2021,"1,261,114"
BOGOR,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,0
KOTA BIMA,Meninggal per 100.000 penduduk/ minggu,NTB,31/08/2021,"1,088,198"
REJANG LEBONG,Meninggal per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,0
BOLAANG MONGONDOW SELATAN,Meninggal per 100.000 penduduk/ minggu,SULAWESI UTARA,31/08/2021,"5,455,463"
MAGELANG,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"1,304,398"
KOTA GUNUNGSITOLI,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"0,683135"
KARO,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"0,230284"
PASAMAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"0,692085"
BANJARNEGARA,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"1,295,334"
WONOSOBO,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,252915"
KOTA SEMARANG,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"0,484098"
NAGEKEO,Meninggal per 100.000 penduduk/ minggu,NTT,31/08/2021,"0,673646"
KOTA TEGAL,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"1,601,986"
SOLOK,Meninggal per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"1,579,958"
KOTA TASIKMALAYA,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"1,758,371"
FAK FAK,Meninggal per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,0
PELALAWAN,Meninggal per 100.000 penduduk/ minggu,RIAU,31/08/2021,"0,773636"
WAJO,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"1,477,501"
KOTA JAKARTA BARAT,Meninggal per 100.000 penduduk/ minggu,DKI JAKARTA,31/08/2021,"0,416845"
SIKKA,Meninggal per 100.000 penduduk/ minggu,NTT,31/08/2021,0
LUMAJANG,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"4,105,082"
KEEROM,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
BATU BARA,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"0,93934"
KEPAHIANG,Meninggal per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,"1,412,509"
JENEPONTO,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"1,361,804"
PULAU MOROTAI,Meninggal per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,0
MANGGARAI BARAT,Meninggal per 100.000 penduduk/ minggu,NTT,31/08/2021,"1,045,883"
JEMBER,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"3,277,306"
BULUKUMBA,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"0,47398"
KOTA BATAM,Meninggal per 100.000 penduduk/ minggu,KEP. RIAU,31/08/2021,"1,425,579"
LABUHANBATU SELATAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,0
LAMPUNG SELATAN,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"0,194116"
SARMI,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
BONE,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"0,131971"
KOTA TANJUNG BALAI,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"4,435,475"
LOMBOK TIMUR,Meninggal per 100.000 penduduk/ minggu,NTB,31/08/2021,"0,160748"
PESISIR SELATAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,0
SUKABUMI,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,158298"
ENREKANG,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"1,428,748"
MESUJI,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,0
SIDOARJO,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,559971"
NAGAN RAYA,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"2,367,887"
BIAK NUMFOR,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
PINRANG,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"1,836,721"
KEBUMEN,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"1,506,885"
KOLAKA,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"0,369995"
ACEH BARAT DAYA,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"1,949,292"
SERUYAN,Meninggal per 100.000 penduduk/ minggu,KALIMANTAN TENGAH,31/08/2021,"0,475633"
LOMBOK BARAT,Meninggal per 100.000 penduduk/ minggu,NTB,31/08/2021,"0,821238"
BEKASI,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"1,070,613"
KOTA TANGERANG,Meninggal per 100.000 penduduk/ minggu,BANTEN,31/08/2021,"0,571729"
GOWA,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"0,640912"
LABUHANBATU,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"1,933,413"
BANYUWANGI,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"3,574,651"
BENGKULU TENGAH,Meninggal per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,0
HALMAHERA SELATAN,Meninggal per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,"0,423218"
MAMUJU,Meninggal per 100.000 penduduk/ minggu,SULAWESI BARAT,31/08/2021,"0,666129"
ACEH JAYA,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"3,129,629"
SUMBAWA BARAT,Meninggal per 100.000 penduduk/ minggu,NTB,31/08/2021,"0,625078"
KARAWANG,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,76301"
KOTA CILEGON,Meninggal per 100.000 penduduk/ minggu,BANTEN,31/08/2021,"1,787,797"
BENER MERIAH,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,0
PAKPAK BHARAT,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"3,881,234"
KOTA SORONG,Meninggal per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,0
KOTA CIMAHI,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,658319"
TELUK BINTUNI,Meninggal per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,"2,952,945"
SEKADAU,Meninggal per 100.000 penduduk/ minggu,KALIMANTAN BARAT,31/08/2021,"0,493055"
KOTAWARINGIN BARAT,Meninggal per 100.000 penduduk/ minggu,KALIMANTAN TENGAH,31/08/2021,"1,919,945"
SAMBAS,Meninggal per 100.000 penduduk/ minggu,KALIMANTAN BARAT,31/08/2021,"0,552935"
GORONTALO,Meninggal per 100.000 penduduk/ minggu,GORONTALO,31/08/2021,"2,394,228"
SORONG SELATAN,Meninggal per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,"6,039,377"
LANGKAT,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"1,233,208"
TORAJA UTARA,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,0
ENDE,Meninggal per 100.000 penduduk/ minggu,NTT,31/08/2021,"1,090,025"
KOTA SIBOLGA,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,0
ASAHAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"2,962,428"
TIMOR TENGAH SELATAN,Meninggal per 100.000 penduduk/ minggu,NTT,31/08/2021,0
TULUNGAGUNG,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"21,954"
KOTA PARIAMAN,Meninggal per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"1,095,926"
KOTA TIDORE KEPULAUAN,Meninggal per 100.000 penduduk/ minggu,MALUKU UTARA,31/08/2021,"2,967,476"
YAHUKIMO,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
MAJENE,Meninggal per 100.000 penduduk/ minggu,SULAWESI BARAT,31/08/2021,"1,144,394"
KOTA KENDARI,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,"0,24893"
JOMBANG,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"3,060,751"
GRESIK,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"0,744808"
SRAGEN,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"1,237,375"
POLEWALI MANDAR,Meninggal per 100.000 penduduk/ minggu,SULAWESI BARAT,31/08/2021,"2,485,095"
SIMEULUE,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"311,142"
MALUKU TENGGARA,Meninggal per 100.000 penduduk/ minggu,MALUKU,31/08/2021,0
PURBALINGGA,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"1,270,707"
DHARMASRAYA,Meninggal per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"0,752329"
PANGANDARAN,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,740136"
KAPUAS HULU,Meninggal per 100.000 penduduk/ minggu,KALIMANTAN BARAT,31/08/2021,0
MALANG,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"4,171,154"
SIJUNJUNG,Meninggal per 100.000 penduduk/ minggu,SUMATERA BARAT,31/08/2021,"0,403024"
LUWU,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,0
BIREUEN,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"0,628733"
ROKAN HILIR,Meninggal per 100.000 penduduk/ minggu,RIAU,31/08/2021,"1,924,764"
TELUK WONDAMA,Meninggal per 100.000 penduduk/ minggu,PAPUA BARAT,31/08/2021,"2,926,372"
KOTA SUBULUSSALAM,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"2,433,534"
SIMALUNGUN,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"7,887,184"
MAROS,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"0,279861"
KOTA PRABUMULIH,Meninggal per 100.000 penduduk/ minggu,SUMATERA SELATAN,31/08/2021,"4,121,205"
TAPANULI UTARA,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"0,326526"
CILACAP,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"2,023,842"
CIAMIS,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,494561"
DAIRI,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,"1,750,713"
ACEH SINGKIL,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"0,796375"
KONAWE UTARA,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,0
LABUHANBATU UTARA,Meninggal per 100.000 penduduk/ minggu,SUMATERA UTARA,31/08/2021,0
PESAWARAN,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"1,765,393"
MUKO MUKO,Meninggal per 100.000 penduduk/ minggu,BENGKULU,31/08/2021,"15,859,003"
KOTA BANDUNG,Meninggal per 100.000 penduduk/ minggu,JAWA BARAT,31/08/2021,"0,116457"
NGAWI,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"368,904"
SUMBA BARAT DAYA,Meninggal per 100.000 penduduk/ minggu,NTT,31/08/2021,"2,514,142"
TEBO,Meninggal per 100.000 penduduk/ minggu,JAMBI,31/08/2021,"112,075"
BARRU,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"0,571353"
SANGGAU,Meninggal per 100.000 penduduk/ minggu,KALIMANTAN BARAT,31/08/2021,"0,417773"
BUNGO,Meninggal per 100.000 penduduk/ minggu,JAMBI,31/08/2021,"2,101,685"
MUARO JAMBI,Meninggal per 100.000 penduduk/ minggu,JAMBI,31/08/2021,"1,319,702"
PIDIE JAYA,Meninggal per 100.000 penduduk/ minggu,ACEH,31/08/2021,"2,451,942"
KONAWE SELATAN,Meninggal per 100.000 penduduk/ minggu,SULAWESI TENGGARA,31/08/2021,0
KOTA MOJOKERTO,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"2,286,307"
WONOGIRI,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"2,090,609"
TIMOR TENGAH UTARA,Meninggal per 100.000 penduduk/ minggu,NTT,31/08/2021,"0,77397"
MAPPI,Meninggal per 100.000 penduduk/ minggu,PAPUA,31/08/2021,0
LAMPUNG TIMUR,Meninggal per 100.000 penduduk/ minggu,LAMPUNG,31/08/2021,"1,130,654"
KOTA TANGERANG SELATAN,Meninggal per 100.000 penduduk/ minggu,BANTEN,31/08/2021,"0,344143"
PANGKAJENE KEPULAUAN,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,"0,883457"
KLATEN,Meninggal per 100.000 penduduk/ minggu,JAWA TENGAH,31/08/2021,"3,919,714"
BONE BOLANGO,Meninggal per 100.000 penduduk/ minggu,GORONTALO,31/08/2021,"1,264,127"
LANDAK,Meninggal per 100.000 penduduk/ minggu,KALIMANTAN BARAT,31/08/2021,"0,782454"
GORONTALO UTARA,Meninggal per 100.000 penduduk/ minggu,GORONTALO,31/08/2021,"3,561,793"
KOTA BATU,Meninggal per 100.000 penduduk/ minggu,JAWA TIMUR,31/08/2021,"2,367,144"
KOTA PARE PARE,Meninggal per 100.000 penduduk/ minggu,SULAWESI SELATAN,31/08/2021,0
