Kabupaten/ Kota,Measure Names,provinsi,Tanggal,Measure Values
KOTA BIMA,Treatment (%/minggu),NTB,31/08/2021,"11,428,571"
REJANG LEBONG,Treatment (%/minggu),BENGKULU,31/08/2021,"26,739,927"
BOLAANG MONGONDOW SELATAN,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,0
MAGELANG,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"29,180,328"
KOTA GUNUNGSITOLI,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,0
KARO,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"41,233,766"
PASAMAN,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"2,593,985"
BANJARNEGARA,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"21,490,468"
WONOSOBO,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"20,286,738"
KOTA SEMARANG,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"11,654,273"
NAGEKEO,Treatment (%/minggu),NTT,31/08/2021,"4,642,857"
KOTA TEGAL,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"19,115,646"
SOLOK,Treatment (%/minggu),SUMATERA BARAT,31/08/2021,"23,376,623"
KOTA TASIKMALAYA,Treatment (%/minggu),JAWA BARAT,31/08/2021,"22,652,219"
FAK FAK,Treatment (%/minggu),PAPUA BARAT,31/08/2021,"22,758,621"
PELALAWAN,Treatment (%/minggu),RIAU,31/08/2021,"26,190,476"
WAJO,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"35,154,062"
KOTA JAKARTA BARAT,Treatment (%/minggu),DKI JAKARTA,31/08/2021,"22,459,413"
SIKKA,Treatment (%/minggu),NTT,31/08/2021,"16,627,635"
LUMAJANG,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"38,745,076"
KEEROM,Treatment (%/minggu),PAPUA,31/08/2021,"14,285,714"
BATU BARA,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"11,111,111"
