District,"Cases Per 100,000","Hospitalisation Per 100,000","Deaths Per 100,000","test per 100,000","tracing per 100,000","treatment per 100,000"
JAYAWIJAYA,27.5,30.01,0.47,7.89,0,77.18
BARITO UTARA,27.25,31.14,0,53.26,3.2,39.94
NGANJUK,26.6,14.39,2.08,32.19,5.43,28.63
KOTA JAKARTA TIMUR,26.6,13.8,0.95,5.62,8.46,16.98
LIMA PULUH KOTA,26.54,2.48,2.81,19.86,4.14,33.17
BANYUMAS,26.51,18.14,1.64,47.21,5.09,23.77
TOLI TOLI,26.38,13.4,2.09,0,3.53,33.68
KOLAKA TIMUR,26.37,0,2.85,9.52,2,0
KOTA PALEMBANG,26.14,21.78,1.57,10.99,4.96,25.35
TANJUNG JABUNG TIMUR,26.12,5.13,4.66,41.09,1.84,22
BENGKULU UTARA,26.05,4.51,1.3,40.22,5.1,26.65
MANGGARAI TIMUR,26.04,0,0.69,18.18,3.58,0
PAHUWATO,25.89,7.4,3.08,26.8,3,31.46
KEPULAUAN TALAUD,25.77,3.07,0,100,0,11.49
SOLOK SELATAN,25.67,5.9,0,19.35,0,36.27
LAMANDAU,25.52,4.17,2.43,75,0,3.81
KOTA BITUNG,25.5,7.8,0.45,9.94,2.5,21.52
PASAMAN BARAT,25.43,11.14,2.56,37.57,3,59.25
KUPANG,25.3,19.32,4.01,11.34,0,36.73
KOTA PARE PARE,25.15,20.98,0,33.18,3,28.05
KOTA BATU,25.09,18.33,2.37,27.49,9.72,26.08
GORONTALO UTARA,24.93,2.16,3.56,25,4.05,16.19
LANDAK,24.78,5.1,0.78,6.25,4.32,47.74
BONE BOLANGO,24.65,10.75,1.26,18.12,2.2,29.82
KLATEN,24.29,17.49,3.92,31.66,2.5,27.62
PANGKAJENE KEPULAUAN,24.15,3.58,0.88,20.54,3.09,36.8
KOTA TANGERANG SELATAN,23.8,10.56,0.34,7.89,3.07,26.82
LAMPUNG TIMUR,23.74,2.42,1.13,34.07,3.79,40.18
MAPPI,23.62,15.75,0,0,0,100
TIMOR TENGAH UTARA,23.61,7.24,0.77,90.2,0,31.72
WONOGIRI,23.41,13.86,2.09,37.2,2.19,33.72
KOTAMOJOKERTO,22.86,74.25,2.29,39.22,9.88,30.11
KONAWE SELATAN,22.82,0.89,0,50,3.75,5.83
PIDIE JAYA,22.68,6.22,2.45,45,0,59.66
MUARO JAMBI,22.65,2.58,1.32,61.25,3.27,13.78
BUNGO,22.59,10.4,2.1,27.64,1.89,22.61
SANGGAU,22.56,2.15,0.42,37.14,2.8,21.88
BARRU,22.28,6.45,0.57,53.62,3,28.21
TEBO,22.13,3.84,1.12,24.58,3.67,27.43
SUMBA BARAT DAYA,22.07,16.28,2.51,6.41,3.33,84.47
NGAWI,22.02,14.93,3.69,32.29,9.54,32.83
KOTA BANDUNG,21.93,22.05,0.12,15.13,2.73,30.67
MUKOMUKO,21.67,2.11,15.86,0,0,12.9
PESAWARAN,21.63,4.63,1.77,54,2.85,45.65
LABUHANBATU UTARA,21.56,1.81,0,66.67,1.5,41.96
KONAWE UTARA,21.55,5.94,0,27.5,0,14.29
ACEH SINGKIL,21.5,1.48,0.8,80,0,18.57
DAIRI,21.36,3.65,1.75,8.51,9.67,20.86
CIAMIS,21.35,4.67,0.49,35.45,6.28,36.59
CILACAP,21.28,5.56,2.02,28.01,3.66,16.75
TAPANULI UTARA,21.22,3.92,0.33,12.36,0,15.58
KOTA PRABUMULIH,21.12,22,4.12,12.15,3.25,24.55
MAROS,20.99,4.04,0.28,14.75,3.69,15.51
SIMALUNGUN,20.92,8.75,7.89,55.2,7.37,26.56
KOTA SUBULUSSALAM,20.69,16.86,2.43,69.57,2.45,69.29
TELUKWONDAMA,20.48,10.45,2.93,4.29,0,8.5
ROKAN HILIR,20.35,1.32,1.92,23.48,4.56,26.59
BIREUEN,20.33,5.75,0.63,50.68,3.06,54.86
LUWU,20.27,7.41,0,25.36,5.33,28.57
SIJUNJUNG,20.15,2.94,0.4,24.42,2.92,21.43
MALANG,20.14,11.69,4.17,18.58,7.7,41.72
KAPUAS HULU,20,2.91,0,0,2.93,12.47
PANGANDARAN,19.98,5.92,0.74,29.21,8.91,21.82
DHARMASRAYA,19.94,7.79,0.75,37.42,1.67,71.43
PURBALINGGA,19.91,10.45,1.27,41.58,1,33.81
MALUKU TENGGARA,19.85,2.98,0,69.44,4,2.94
POLEWALI MANDAR,19.43,9.04,2.49,39,2.86,27.81
SRAGEN,19.35,8.5,1.24,14.88,4.55,20.1
GRESIK,19.29,7.87,0.74,28.4,16.52,15.23
JOMBANG,19.07,14.27,3.06,27.38,11.56,34.93
KOTA KENDARI,18.92,17.6,0.25,7.24,0,15.77
MAJENE,18.88,5.15,1.14,0,2.81,32.14
YAHUKIMO,18.87,2.04,0,0,0,36.36
KOTA TIDORE KEPULAUAN,18.79,10.88,2.97,7.89,3,15.28
KOTA PARIAMAN,18.63,14.72,1.1,24.71,1.43,17.67
TULUNGAGUNG,18.61,26.69,2.2,31.55,8.19,29.33
TIMOR TENGAH SELATAN,18.42,1.27,0,42.57,5.04,37.5
ASAHAN,18.31,5.27,2.96,40.88,2.08,23.72
KOTA SIBOLGA,18.26,27.88,0,13.56,3.5,18.65
ENDE,18.17,2.6,1.09,6.3,8.59,17.01
TORAJA UTARA,18.12,3.01,0,66.67,2,23.04
LANGKAT,18.12,4.16,1.23,37.93,6.35,18.35
SORONG SELATAN,18.12,5.18,6.04,0,2,51.43
GORONTALO,18.09,9.88,2.39,24.61,5.87,30.44
SAMBAS,18.06,2.53,0.55,15.35,1.68,12.47
KOTAWARINGIN BARAT,17.92,15.31,1.92,13.91,0,21.95
SEKADAU,17.75,1.27,0.49,41.67,4,6.43
TELUK BINTUNI,17.72,15.61,2.95,26.53,0,24.03
KOTA CIMAHI,17.61,16.43,0.66,24.54,2.69,17.4
KOTA SORONG,17.52,3.86,0,2.06,1.33,5.91
PAKPAK BHARAT,17.47,9.98,3.88,50,0,14.69
BENERMERIAH,17.3,4.18,0,75,0,24.72
KOTA CILEGON,17.21,7.12,1.79,13.14,2.26,25.99
KARAWANG,17.17,4.91,0.76,34.21,5.56,10.04
SUMBAWA BARAT,16.88,8.13,0.63,13.42,2,23.64
ACEH JAYA,16.69,4.17,3.13,91.67,0,40
MAMUJU,16.65,4.47,0.67,11.27,7.67,27.98
HALMAHERA SELATAN,16.51,1.87,0.42,3.46,0,13.03
BENGKULU TENGAH,16.5,0.99,0,50,0,5.71
BANYUWANGI,16.46,4.81,3.57,11.65,13.9,20.47
LABUHANBATU,16.43,2.26,1.93,0,0,13.02
GOWA,16.41,1.89,0.64,9.59,5.93,30.65
KOTA TANGERANG,16.36,10.1,0.57,13.2,9.27,15.73
BEKASI,16.24,5.26,1.07,20.16,6.08,11.85
LOMBOK BARAT,15.88,4.38,0.82,12.23,14.29,14.31
SERUYAN,15.7,2.24,0.48,100,0,8.57
ACEH BARAT DAYA,15.59,6.4,1.95,95.24,4.33,27.38
KOLAKA,15.54,7.19,0.37,12.39,2.09,74.73
KEBUMEN,15.49,13.83,1.51,19.75,3.41,26.2
PINRANG,15.48,4.24,1.84,52.94,2.33,47.48
BIAK NUMFOR,15.42,5.08,0,9.52,0,5.41
NAGAN RAYA,15.39,10.57,2.37,52.63,3,74.4
SIDOARJO,15.33,10.01,0.56,12.94,15.28,18.6
MESUJI,15.32,3.74,0,56.52,1.5,24.42
ENREKANG,15.24,7.62,1.43,57.45,4.91,55.17
SUKABUMI,15.24,2.67,0.16,38.13,10.2,20.6
PESISIR SELATAN,15.23,3.78,0,21.18,6.52,22.6
LOMBOK TIMUR,15.03,5.3,0.16,52.98,11.4,29.07
KOTA TANJUNG BALAI,14.97,2.14,4.44,0,0,48.21
BONE,14.91,2.77,0.13,42.31,4.17,29.17
SARMI,14.89,0,0,0,0,0
LAMPUNG SELATAN,14.85,3.59,0.19,25.29,2.37,25.05
LABUHANBATU SELATAN,14.82,3.6,0,76.92,0,25.21
KOTA BATAM,14.77,25.55,1.43,10.14,4.2,33.27
BULUKUMBA,14.69,10.83,0.47,7.32,9.12,81.63
JEMBER,14.65,7.11,3.28,24.05,8.71,28.12
MANGGARAI BARAT,14.64,5.18,1.05,1.65,2.22,23.96
PULAUMOROTAI,14.58,8.12,0,8.33,0,18.22
JENEPONTO,14.44,3.7,1.36,31.65,2.05,33.1
KEPAHIANG,14.13,1.31,1.41,57.14,0,3.44
BATU BARA,14.09,0.7,0.94,32.71,4.88,11.11
KEEROM,13.73,4.9,0,0,0,14.29
BANDUNG BARAT,7.87,2.41,0.41,18.97,2,22.75
PROBOLINGGO,7.87,2.65,0.93,23.49,4.48,13.82
WAKATOBI,7.79,0.28,0,5.56,0,3.17
KAIMANA,7.72,0,0,15.56,0,0
ALOR,7.69,2.81,0.96,4.14,4.6,30.83
ACEH TIMUR,7.46,1.39,1.13,0,2.75,16.17
TEGAL,7.45,4.05,0.84,18.81,2.29,12.69
MAMBERAMO TENGAH,7.44,0,0,33.33,0,0
TOLIKARA,7.41,2.6,0,0,2.5,55.1
KOTA PADANGSIDIMPUAN,7.38,0.99,1.74,23.68,0,4.31
BOLAANGMONGONDOWUTARA,7.36,20.84,0,58.33,0,70.83
ACEH TENGGARA,7.3,2.48,0.91,33.33,0,21.71
MUSI RAWAS,7.23,3.86,0.72,12.5,6.58,19.05
NIAS UTARA,7.15,1.23,0,0,1,14.29
KOLAKA UTARA,7.07,19.93,0,44.44,4.2,83.78
KOTA PAGAR ALAM,7.07,1.72,0,66.67,0,5.06
TUBAN,7.02,2.59,0.68,21.48,12.48,11.27
ASMAT,6.91,9.58,0,7.69,0,31.34
NIAS,6.91,5.33,0.69,0,0,12.86
CIANJUR,6.87,3.27,0,21.36,2.62,26.26
SITUBONDO,6.82,3.05,1.45,25.96,5.09,13.32
CIREBON,6.75,3.34,1.9,11.94,3,12.84
KENDAL,6.75,1.55,0.61,8.47,3,12.1
MUSI BANYUASIN,6.75,5.21,0.45,30.66,4.53,14.77
PADANG LAWAS,6.7,0.14,0,66.67,2.33,1.79
TAKALAR,6.7,3.01,0.33,14.17,6.1,16.67
KOTA PEKALONGAN,6.45,2.95,0.32,4.7,3.15,12.88
PESISIR BARAT,6.36,0.45,0,0,0,7.14
TAMBRAUW,6.34,0,0,0,0,0
SAMPANG,6.29,0.81,0.1,6.06,16.54,12.53
JEPARA,6.23,0.88,0.23,10.35,5.83,4.13
REMBANG,6.22,1.4,0.16,8.67,12.25,3.04
PENUKAL ABAB LEMATANG ILIR,6.16,1.03,3.08,18.52,0,4
WAROPEN,6.13,NA,0,0,0,NA
NIAS BARAT,6.07,0,0,0,0,0
SEMARANG,6.06,4.39,1.03,27.19,2.29,27.14
TANGERANG,6.03,2.63,0.03,10.08,2.85,9.67
LANNY JAYA,6.02,21.58,0,0,0,98.37
PADANG PARIAMAN,5.93,5.08,0.24,4.44,2.5,21.52
TAPANULI TENGAH,5.8,0.9,0.5,35.14,10.29,8.71
OGAN ILIR,5.7,0.91,1.37,13.79,1,17.39
KOTA AMBON,5.69,21.54,0.21,9.53,2,14.51
PURWAKARTA,5.65,6.92,0.31,10.88,2.33,14.61
TAPANULI SELATAN,5.62,0.8,0,23.08,11.5,7.62
PASURUAN,5.57,3.19,0.48,18.84,11.47,13.73
PAMEKASAN,5.57,2.42,1,2.27,14.81,16.33
